epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2226.68,3.87951,3.73995,3.32229,0.35341,0.35834,0.27831,0.09629,2.51389,2.68824,2.42678,0.00041498,0.00041498,0.00041498
2,3991.11,2.31137,1.83057,1.99498,0.68996,0.64252,0.688,0.26916,2.05265,1.53196,1.88403,0.00081518,0.00081518,0.00081518
3,5695.73,2.00058,1.40751,1.68811,0.78575,0.75424,0.80934,0.39279,1.73747,1.21963,1.60424,0.00119888,0.00119888,0.00119888
